case_id,failure_mode_class,synthetic_ground_truth,observation_configuration,expected_behavior,actual_behavior,false_clean_indicator,false_clean_rate,flag_rate,unknown_rate,usable_coverage,runtime_seconds,nuisance_seed,nuisance_parameters,notes
dirty_reference-00-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260920,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-00-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260920,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-00-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260920,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-00-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260920,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-00-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260920,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-00-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260920,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-01-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260921,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-01-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260921,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-01-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260921,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-01-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260921,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-01-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260921,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-01-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260921,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-02-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260922,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-02-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260922,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-02-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260922,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-02-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260922,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-02-E4_secondary_optical_hypothesis,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus hypothetical residue-sensitive optical state,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260922,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-02-v1_retained,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,three-reference consensus and gain guard in primary + registered high-SNR state,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260922,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-03-v0_single_reference,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; 48 reference + 48 sample frames,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260923,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-03-E1_gain_guard,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; one reference; bounded absolute gain ratio,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260923,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-03-E2_reference_consensus,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary state; three references; majority self-consistency,FLAG,FLAG,False,0.0,1.0,0.0,1.0,,20260923,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
dirty_reference-03-E3_controlled_geometry,dirty_reference,sample q=1.2 and reference q=1.2; contaminated by construction,primary plus registered high-SNR geometry state; one reference each,FLAG,PASS,True,1.0,0.0,0.0,1.0,,20260923,"scene gain U(0.85,1.15); random phase; declared bounded noise; failure-specific reference/gain/geometry state",Relative comparison is unidentifiable when reference and sample share the change; consensus adds an external majority-clean anchor assumption.
