source,year,type,application,measurement_modality,reference_strategy,multi-reference,bounded_inference,abstention,remeasurement,large-area,cleaning-specific,overlap_with_ours,important_difference,risk_level
"Huang et al., Optics Express, DOI 10.1364/OE.27.037721",2019,literature,"contamination and defect detection","sinusoidal structured-light modulation","clean/sample optical comparison",no,no,no,no,partial,yes,"very high physical-principle overlap","no explicit assurance workflow found","HIGH"
"Huang et al., arXiv:2005.04026",2020,literature,"contaminant/defect topography","structured light; perpendicular directions","modeled clean transfer",no,no,no,no,partial,yes,"high; includes two-orientation fusion","no multi-reference bounded decision found","HIGH"
"Huang, arXiv:2006.12186",2020,literature,"direct contaminant/defect inspection","binary structured light reflection/transmission","implicit reference patterns",no,no,no,no,partial,yes,"high active-pattern contamination imaging","different binary direct-processing route","HIGH"
"Burke et al., Frontiers AOT 10.3389/aot.2023.1237687",2023,review,"specular-surface metrology and defect inspection","deflectometry","calibration/reference geometries",partial,partial,no,partial,yes,no,"high modality overlap and ambiguity warning","not a cleaning decision workflow","HIGH"
"Pavlicek & Palickova, Applied Optics 10.1364/AO.483720",2023,literature,"PMD uncertainty","phase-measuring deflectometry","measurement model",no,yes,no,no,no,no,"supports uncertainty-bounded framing","shape metrology rather than contamination","MEDIUM"
"Makila et al., PubMed 31613045",2019,literature,"hospital touch-surface contamination","hyperspectral/visible optical imaging","clean/contaminated samples",no,partial,no,no,partial,yes,"professional-cleaning optical precedent","hyperspectral route and different inference","HIGH"
"Mari et al., Sensors 10.3390/s25092710",2025,literature,"automotive cleaning QC","visible plus 850/940 nm; multi-angle imaging","before/after wash",no,no,no,yes,partial,yes,"multi-state optical cleaning precedent","blob analysis; no bounded abstention","HIGH"
"Tian et al., arXiv:2501.01643",2025,literature,"mirror soiling assessment","polarimetry/DoLP; UAV concept","clean/soiled model",no,partial,no,no,yes,partial,"large-area optical soiling precedent","outdoor mirrors; different physical cue","MEDIUM"
"Karlsson & Hossjer, Journal of Classification 2024",2024,literature,"classification with ambiguity","statistical reject option","hypothesis model",no,yes,yes,no,no,no,"general abstention precedent","not optical or cleaning-specific","MEDIUM"
"WO2008029946A1",2008,patent,"contamination evaluation and cleaning recovery","spectral diffuse reflectance/color","uncontaminated reference; before/after",no,partial,no,yes,partial,yes,"reference-based optical cleanliness overlap","spectral/color comparison rather than structured transfer","HIGH"
